42.46372	1.49129	Sant Julià de Lòria	AD
42.55623	1.53319	Ordino	AD
42.50729	1.53414	les Escaldes	AD
42.54499	1.51483	la Massana	AD
42.53474	1.58014	Encamp	AD
42.5676	1.59756	Canillo	AD
42.50779	1.52109	Andorra la Vella	AD
25.56473	55.55517	Umm Al Quwain City	AE
25.78953	55.9432	Ras Al Khaimah City	AE
23.14355	53.7881	Muzayri‘	AE
23.65416	53.70522	Zayed City	AE
25.33132	56.34199	Khawr Fakkān	AE
25.07725	55.30927	Dubai	AE
25.59246	56.26176	Dibba Al-Fujairah	AE
25.61955	56.27291	Dibba Al-Hisn	AE
25.33737	55.41206	Sharjah	AE
24.11028	52.73056	Ar Ruways	AE
25.11641	56.34141	Al Fujairah City	AE
24.19167	55.76056	Al Ain City	AE
25.40177	55.47878	Ajman City	AE
25.28812	55.88157	Adh Dhayd	AE
24.45118	54.39696	Abu Dhabi	AE
24.42588	54.605	Khalifah A City	AE
24.30978	54.62944	Bani Yas City	AE
24.35893	54.48267	Musaffah	AE
24.39268	54.70779	Al Shamkhah City	AE
25.14479	56.24764	Reef Al Fujairah City	AE
34.65389	61.19778	Kuhsān	AF
35.94831	66.42132	Tukzār	AF
34.34264	61.74675	Zindah Jān	AF
32.84734	68.44573	Zarghūn Shahr	AF
33.14641	68.79213	Zaṟah Sharan	AF
30.95962	61.86037	Zaranj	AF
37.46572	69.61131	Yangī Qal‘ah	AF
34.73525	66.97379	Bāzār-e Yakāwlang	AF
34.59431	61.26895	Tīr Pul	AF
32.62998	65.87806	Tarinkot	AF
36.73605	69.53451	Taloqan	AF
35.69941	66.06164	Tagāw-Bāy	AF
34.85501	69.64917	Tagāb	AF
33.30294	62.1474	Shīnḏanḏ	AF
36.66757	65.7529	Shibirghān	AF
34.10737	64.3052	Shahrak	AF
35.02298	69.35112	Sidqābād	AF
36.21544	65.93249	Sar-e Pul	AF
32.07275	64.8359	Sangīn	AF
35.84972	66.43694	Sang-e Chārak	AF
36.26468	68.01551	Aībak	AF
30.15	62.6	Rūdbār	AF
37.12604	69.83045	Rustāq	AF
37.41853	66.04358	Qarqīn	AF
37.03999	66.78891	Qarchī Gak	AF
37.21959	68.7802	Qarāwul	AF
34.94023	61.77589	Qarah Bāgh	AF
34.98735	63.12891	Qala i Naw	AF
35.54729	65.5676	Qal‘ah-ye Shahr	AF
32.10575	66.90833	Qalāt	AF
35.42064	70.92261	Pārūn	AF
35.94458	68.71512	Pul-e Khumrī	AF
33.99529	69.02274	Pul-e ‘Alam	AF
34.38795	67.02327	Panjāb	AF
34.58787	68.95091	Paghmān	AF
32.92775	66.63253	Uruzgān	AF
33.72178	66.13023	Nīlī	AF
36.0649	69.13343	Nahrīn	AF
34.74999	69.11899	Mīr Bachah Kōṯ	AF
30.43624	61.8383	Mīrābād	AF
35.92139	64.78361	Maymana	AF
34.67139	70.20944	Mehtar Lām	AF
36.70904	67.11087	Mazār-e Sharīf	AF
31.59382	64.37161	Lashkar Gāh	AF
35.48936	66.66409	Larkird	AF
33.29565	61.95221	Kushk	AF
36.72895	68.857	Kunduz	AF
33.33951	69.92041	Khōst	AF
36.69736	67.69826	Khulm	AF
31.52919	62.79055	Khāsh	AF
36.95127	72.318	Khandūd	AF
36.6825	69.11556	Khanabad	AF
34.48108	62.5863	Karukh	AF
31.61332	65.71013	Kandahār	AF
